year,month,day,date,julian,mlk_temp_150_avg,mlk_temp_150_max,mlk_temp_150_min,mlk_hum_150_avg,mlk_hum_150_max,mlk_hum_150_min,mlk_temp_0_avg,mlk_temp_20_avg,mlk_temp_40_avg,mlk_temp_80_avg,mlk_temp_0_max,mlk_temp_20_max,mlk_temp_40_max,mlk_temp_80_max,mlk_temp_0_min,mlk_temp_20_min,mlk_temp_40_min,mlk_temp_80_min,mlk_WindSpd_avg,mlk_WindDir_avg,mlk_WindDir_std,mlk_WindSpd_max,mlk_WindSpd_min,mlk_rain_tot_mm,mlk_snow_depth,mlk_total_flux_density_mj_m2,rlk_temp_150_avg,rlk_hum_150_avg,rlk_temp_0_avg,rlk_temp_15_avg,rlk_temp_10_avg,rlk_temp_5_avg,rlk_temp_20_avg,rlk_temp_40_avg,rlk_temp_80_avg,rlk_temp_2p5_avg,rlk_temp_150_max,rlk_hum_150_max,rlk_temp_0_max,rlk_temp_15_max,rlk_temp_10_max,rlk_temp_5_max,rlk_temp_20_max,rlk_temp_40_max,rlk_temp_80_max,rlk_temp_2p5_max,rlk_temp_150_min,rlk_hum_150_min,rlk_temp_0_min,rlk_temp_15_min,rlk_temp_10_min,rlk_temp_5_min,rlk_temp_20_min,rlk_temp_40_min,rlk_temp_80_min,rlk_temp_2p5_min,rlk_Windmsec_S_WVT,rlk_Windmsec_U_WVT,rlk_WindDirec_D1_WVT,rlk_WindDirec_SD1_WVT,rlk_rain_tot_mm
2004,10,25,2004-10-25,299,-2.054,-0.076,-4.874,92.200,99.200,82.300,-0.392,-0.154,-0.111,-0.095,-0.109,-0.100,-0.048,-0.042,-0.223,-0.233,-0.189,-0.149,2.193,234.100,29.000,,,0.300,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,26,2004-10-26,300,-6.887,-2.822,-12.710,81.500,92.000,68.100,-0.877,-0.166,-0.113,-0.102,-0.114,-0.056,0.007,-0.024,-0.282,-0.270,-0.210,-0.158,1.998,275.300,19.180,,,0.000,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,27,2004-10-27,301,-3.136,1.488,-8.040,89.000,94.500,81.900,-1.354,-0.178,-0.117,-0.107,-0.161,-0.111,-0.059,-0.059,-0.288,-0.234,-0.170,-0.155,3.731,193.900,12.590,,,1.500,0.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,28,2004-10-28,302,0.938,2.418,-2.771,95.400,99.900,89.400,-0.564,-0.140,-0.109,-0.097,-0.090,-0.082,-0.058,-0.052,-0.251,-0.225,-0.200,-0.182,2.639,218.800,17.020,,,7.000,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,29,2004-10-29,303,-3.778,0.231,-6.886,90.500,99.100,76.700,-0.862,-0.196,-0.157,-0.147,-0.130,-0.131,-0.079,-0.080,-0.233,-0.257,-0.208,-0.186,1.433,310.700,26.000,,,0.000,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,30,2004-10-30,304,-9.200,-3.731,-14.910,88.400,95.500,71.900,-3.091,-0.211,-0.121,-0.120,-0.102,-0.100,0.023,-0.040,-0.342,-0.306,-0.211,-0.185,1.966,195.100,35.710,,,0.000,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,10,31,2004-10-31,305,-2.653,-0.882,-4.831,92.000,95.900,86.800,-1.868,-0.208,-0.159,-0.153,-0.210,-0.165,-0.122,-0.117,-0.370,-0.271,-0.196,-0.185,4.480,197.200,12.480,,,0.000,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,1,2004-11-01,306,-1.238,1.381,-8.600,86.000,94.900,67.160,-0.753,-0.186,-0.158,-0.151,-0.133,-0.095,-0.068,-0.081,-0.288,-0.285,-0.262,-0.219,1.866,269.600,32.510,,,0.200,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,2,2004-11-02,307,-14.260,-8.220,-17.600,78.600,96.900,63.030,-2.354,-0.207,-0.124,-0.122,-0.193,-0.105,-0.013,-0.038,-0.327,-0.275,-0.212,-0.196,1.735,276.300,44.340,,,0.000,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,3,2004-11-03,308,-1.869,1.044,-8.170,90.900,98.100,74.800,-2.496,-0.209,-0.160,-0.156,-0.185,-0.124,-0.039,-0.051,-0.342,-0.274,-0.227,-0.205,1.031,112.200,48.850,,,0.000,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,4,2004-11-04,309,-0.034,0.954,-0.961,97.700,100.000,90.600,-0.786,-0.182,-0.161,-0.155,-0.161,-0.134,-0.113,-0.102,-0.257,-0.226,-0.203,-0.198,1.359,89.900,41.410,,,0.500,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,5,2004-11-05,310,-1.799,0.768,-5.150,96.800,100.300,89.500,-0.501,-0.195,-0.181,-0.174,-0.159,-0.136,-0.124,-0.120,-0.275,-0.244,-0.241,-0.218,1.667,150.200,27.240,,,1.700,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,6,2004-11-06,311,-4.236,-2.175,-8.820,96.000,100.300,90.200,-0.730,-0.200,-0.185,-0.181,-0.200,-0.164,-0.149,-0.150,-0.293,-0.244,-0.226,-0.218,1.288,304.700,21.540,,,0.000,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,7,2004-11-07,312,-8.030,-3.423,-10.630,92.000,96.000,83.100,-1.048,-0.182,-0.161,-0.160,-0.213,-0.118,-0.110,-0.109,-0.335,-0.256,-0.247,-0.229,2.372,295.900,15.990,,,0.000,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,8,2004-11-08,313,-11.970,-9.480,-20.540,89.100,94.900,81.300,-1.583,-0.182,-0.155,-0.150,-0.257,-0.135,-0.109,-0.107,-0.410,-0.293,-0.260,-0.258,2.646,289.400,15.150,,,0.000,0.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,9,2004-11-09,314,-10.860,-6.480,-20.810,88.000,96.000,72.900,-2.374,-0.175,-0.143,-0.142,-0.211,-0.084,-0.050,-0.058,-0.421,-0.297,-0.262,-0.271,1.620,167.900,49.720,,,0.000,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,10,2004-11-10,315,-12.670,-4.664,-20.230,87.800,97.000,80.000,-1.980,-0.202,-0.167,-0.162,-0.254,-0.111,-0.081,-0.085,-0.560,-0.301,-0.266,-0.240,4.511,312.500,24.520,,,0.000,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,11,2004-11-11,316,-18.450,-14.210,-21.010,82.500,88.900,78.900,-3.459,-0.244,-0.195,-0.191,-0.246,-0.125,-0.065,-0.082,-0.460,-0.345,-0.305,-0.296,4.211,286.800,14.160,,,0.000,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,12,2004-11-12,317,-16.960,-9.800,-25.010,84.500,92.300,75.000,-4.195,-0.271,-0.219,-0.216,-0.322,-0.128,-0.073,-0.078,-0.609,-0.482,-0.430,-0.421,3.106,213.900,28.580,,,0.000,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,13,2004-11-13,318,-13.130,-6.417,-20.090,82.600,92.200,68.840,-3.208,-0.217,-0.174,-0.169,-0.337,-0.153,-0.113,-0.106,-0.459,-0.291,-0.252,-0.252,2.690,295.900,30.300,,,0.000,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,14,2004-11-14,319,-15.240,-10.500,-19.680,80.100,91.300,64.850,-3.386,-0.199,-0.154,-0.151,-0.290,-0.092,-0.049,-0.075,-0.450,-0.295,-0.251,-0.242,1.742,277.600,27.810,,,0.000,0.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,15,2004-11-15,320,-6.395,-2.667,-10.500,91.400,97.400,86.600,-2.992,-0.218,-0.176,-0.170,-0.336,-0.147,-0.106,-0.105,-0.470,-0.261,-0.222,-0.214,2.987,170.400,15.460,,,0.000,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,16,2004-11-16,321,0.871,4.237,-2.848,84.400,97.500,68.970,-1.359,-0.190,-0.162,-0.155,-0.138,-0.113,-0.083,-0.070,-0.459,-0.267,-0.244,-0.228,3.398,250.700,47.540,,,9.400,0.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,17,2004-11-17,322,-1.703,0.191,-4.949,90.700,97.300,77.000,-0.357,-0.216,-0.197,-0.191,-0.222,-0.140,-0.123,-0.140,-0.332,-0.292,-0.271,-0.249,2.540,209.500,20.510,,,0.000,0.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,18,2004-11-18,323,-7.770,-1.916,-12.440,81.200,98.900,56.040,-1.510,-0.198,-0.175,-0.171,-0.210,-0.109,-0.083,-0.107,-0.370,-0.300,-0.266,-0.241,2.653,308.300,51.770,,,0.000,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,19,2004-11-19,324,-5.036,-2.998,-7.290,92.100,98.000,82.200,-2.233,-0.227,-0.194,-0.188,-0.275,-0.175,-0.145,-0.139,-0.361,-0.269,-0.237,-0.224,2.709,30.010,22.480,,,0.000,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,20,2004-11-20,325,-6.766,-5.417,-8.420,89.800,96.300,85.700,-1.984,-0.218,-0.190,-0.183,-0.258,-0.167,-0.135,-0.135,-0.347,-0.261,-0.227,-0.224,5.056,3.029,11.130,,,0.000,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,21,2004-11-21,326,-15.170,-6.936,-20.910,87.100,91.000,78.500,-2.732,-0.219,-0.192,-0.182,-0.212,-0.125,-0.100,-0.100,-0.441,-0.371,-0.336,-0.328,2.369,299.800,41.780,,,0.000,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,22,2004-11-22,327,-16.700,-7.130,-23.540,86.500,94.200,82.100,-4.547,-0.258,-0.221,-0.218,-0.232,-0.120,-0.081,-0.085,-0.520,-0.427,-0.401,-0.383,1.067,340.400,64.140,,,0.000,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,23,2004-11-23,328,-7.610,-6.482,-12.820,88.100,94.700,77.700,-3.437,-0.229,-0.186,-0.177,-0.295,-0.182,-0.143,-0.136,-0.380,-0.274,-0.232,-0.213,3.482,9.250,18.820,,,0.000,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,24,2004-11-24,329,-20.770,-12.870,-28.230,83.400,90.100,76.300,-3.581,-0.316,-0.275,-0.264,-0.292,-0.168,-0.128,-0.120,-0.662,-0.541,-0.491,-0.481,2.458,298.200,15.220,,,0.000,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,25,2004-11-25,330,-24.940,-18.110,-29.860,80.000,86.300,75.200,-6.000,-0.418,-0.372,-0.363,-0.365,-0.183,-0.149,-0.158,-0.687,-0.549,-0.505,-0.489,1.623,205.100,31.490,,,0.000,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,26,2004-11-26,331,-20.330,-14.700,-24.470,84.700,92.800,80.600,-6.223,-0.328,-0.272,-0.262,-0.475,-0.170,-0.110,-0.101,-0.728,-0.480,-0.429,-0.406,1.061,176.300,39.940,,,0.000,0.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,27,2004-11-27,332,-17.970,-14.560,-23.800,86.500,91.200,78.800,-4.943,-0.279,-0.213,-0.201,-0.502,-0.178,-0.118,-0.116,-0.825,-0.456,-0.396,-0.385,0.556,272.700,31.730,,,0.000,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,28,2004-11-28,333,-20.170,-15.820,-26.670,82.700,89.100,75.300,-5.359,-0.336,-0.264,-0.250,-0.571,-0.190,-0.121,-0.110,-0.997,-0.556,-0.483,-0.475,2.624,287.500,17.000,,,0.000,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,29,2004-11-29,334,-26.880,-21.630,-30.060,76.800,81.800,72.300,-7.040,-0.511,-0.427,-0.413,-0.870,-0.360,-0.272,-0.265,-1.167,-0.605,-0.522,-0.497,3.013,291.800,32.410,,,0.000,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,30,2004-11-30,335,-27.830,-24.720,-30.370,74.100,77.700,72.000,-8.490,-0.552,-0.447,-0.430,-1.114,-0.495,-0.383,-0.367,-1.666,-0.599,-0.504,-0.495,5.100,283.800,13.170,,,0.000,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,1,2004-12-01,336,-22.110,-17.480,-25.850,79.400,85.900,75.900,-7.990,-0.491,-0.335,-0.317,-1.623,-0.325,-0.154,-0.147,-2.108,-0.656,-0.466,-0.449,2.945,295.300,18.280,,,0.000,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,2,2004-12-02,337,-25.850,-21.040,-28.830,74.600,80.700,70.100,-8.470,-0.668,-0.423,-0.407,-2.067,-0.574,-0.269,-0.259,-2.257,-0.753,-0.529,-0.503,2.557,222.800,30.650,,,0.000,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,3,2004-12-03,338,-26.620,-17.630,-30.660,74.800,86.500,66.870,-8.830,-0.790,-0.408,-0.387,-2.108,-0.513,-0.184,-0.169,-2.557,-0.946,-0.541,-0.524,3.592,296.900,37.180,,,0.000,0.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,4,2004-12-04,339,-27.050,-23.460,-30.490,76.000,81.600,69.720,-10.220,-0.976,-0.437,-0.415,-2.495,-0.867,-0.351,-0.325,-2.925,-1.127,-0.507,-0.490,5.734,297.900,13.250,,,0.000,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,5,2004-12-05,340,-27.250,-25.560,-28.970,71.900,76.300,66.150,-10.270,-1.214,-0.478,-0.451,-2.767,-1.080,-0.375,-0.372,-2.947,-1.381,-0.540,-0.506,4.160,292.900,12.280,,,0.000,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,6,2004-12-06,341,-25.990,-16.190,-30.460,77.000,89.200,71.600,-10.660,-1.416,-0.419,-0.392,-2.390,-1.283,-0.161,-0.127,-2.848,-1.518,-0.540,-0.506,1.621,302.700,47.180,,,0.000,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,7,2004-12-07,342,-18.920,-13.550,-24.310,84.400,91.000,75.600,-8.520,-1.474,-0.281,-0.253,-2.372,-1.297,-0.141,-0.118,-2.642,-1.655,-0.453,-0.427,1.811,162.900,56.820,,,0.000,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,8,2004-12-08,343,-25.120,-20.810,-27.230,74.300,82.500,69.410,-8.660,-1.661,-0.427,-0.407,-2.446,-1.484,-0.267,-0.242,-2.687,-1.779,-0.532,-0.515,3.474,261.600,12.680,,,0.000,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,9,2004-12-09,344,-25.500,-23.850,-26.370,72.400,76.800,67.500,-9.750,-1.812,-0.461,-0.430,-2.582,-1.710,-0.345,-0.328,-2.785,-1.962,-0.519,-0.488,3.580,277.200,12.760,,,0.000,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,10,2004-12-10,345,-19.950,-13.110,-27.550,81.400,87.700,74.100,-10.260,-1.879,-0.343,-0.284,-2.547,-1.753,-0.206,-0.130,-2.842,-2.044,-0.565,-0.522,3.186,194.100,18.760,,,0.000,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,11,2004-12-11,346,-14.530,-12.220,-19.020,85.500,90.500,75.500,-7.800,-1.897,-0.334,-0.185,-2.689,-1.842,-0.234,-0.133,-2.870,-1.977,-0.466,-0.276,1.520,269.300,35.910,,,0.000,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,12,2004-12-12,347,-19.300,-14.850,-24.190,83.700,88.100,79.400,-7.110,-1.914,-0.528,-0.256,-2.670,-1.803,-0.332,-0.131,-2.842,-2.086,-0.772,-0.426,2.845,321.200,19.830,,,0.000,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,13,2004-12-13,348,-20.140,-17.330,-24.420,80.600,88.900,75.100,-8.080,-1.982,-0.672,-0.275,-2.564,-1.876,-0.571,-0.178,-2.854,-2.099,-0.784,-0.441,2.521,265.000,37.800,,,0.000,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,14,2004-12-14,349,-16.490,-13.050,-19.090,86.400,90.600,81.400,-7.870,-2.041,-0.721,-0.193,-2.564,-1.972,-0.658,-0.128,-2.674,-2.119,-0.801,-0.270,2.043,11.170,53.570,,,0.000,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,15,2004-12-15,350,-20.470,-15.780,-21.900,80.900,85.700,74.600,-7.690,-2.232,-0.935,-0.275,-2.600,-2.072,-0.765,-0.156,-2.768,-2.367,-1.068,-0.351,3.714,38.250,14.820,,,0.000,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,16,2004-12-16,351,-27.860,-21.770,-30.830,75.700,82.600,70.100,-8.470,-2.591,-1.241,-0.453,-2.666,-2.329,-1.034,-0.307,-2.903,-2.768,-1.360,-0.536,2.060,289.000,34.640,,,0.000,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,17,2004-12-17,352,-29.150,-25.870,-33.290,74.500,79.500,69.520,-9.540,-2.938,-1.393,-0.443,-2.802,-2.698,-1.251,-0.309,-3.093,-3.129,-1.512,-0.507,2.034,335.900,22.750,,,0.000,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,18,2004-12-18,353,-32.200,-28.720,-35.490,69.350,71.300,67.450,-10.290,-3.292,-1.492,-0.319,-2.782,-2.930,-1.187,-0.081,-3.365,-3.660,-1.752,-0.486,3.844,300.200,16.750,,,0.000,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,19,2004-12-19,354,-32.790,-30.860,-34.590,68.620,72.000,63.720,-11.700,-3.736,-1.750,-0.298,-3.198,-3.519,-1.540,-0.114,-3.601,-3.934,-1.916,-0.448,1.422,263.200,42.100,,,0.000,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,20,2004-12-20,355,-30.630,-27.550,-33.870,74.100,78.600,68.940,-12.370,-4.247,-2.115,-0.367,-3.493,-3.841,-1.788,-0.161,-4.027,-4.549,-2.367,-0.493,1.616,3.119,24.900,,,0.000,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,21,2004-12-21,356,-33.760,-31.460,-35.190,69.780,72.300,67.860,-12.470,-4.547,-2.304,-0.249,-3.760,-4.326,-2.100,-0.090,-4.205,-4.819,-2.560,-0.441,1.934,294.300,14.090,,,0.000,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,22,2004-12-22,357,-34.470,-32.080,-35.520,68.300,69.450,67.250,-13.090,-4.851,-2.530,-0.194,-3.908,-4.536,-2.266,-0.042,-4.499,-5.164,-2.826,-0.441,2.203,290.300,12.210,,,0.000,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,23,2004-12-23,358,-37.170,-35.420,-38.810,65.450,68.150,63.740,-13.400,-4.910,-2.503,0.093,-3.934,-4.649,-2.247,0.407,-4.583,-5.298,-2.876,-0.253,2.019,284.900,13.340,,,0.000,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,24,2004-12-24,359,-36.750,-32.320,-39.270,66.490,70.400,63.650,-14.140,-5.297,-2.775,0.076,-4.005,-4.764,-2.292,0.486,-5.125,-5.929,-3.382,-0.497,1.379,292.400,18.770,,,0.000,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,25,2004-12-25,360,-35.520,-32.730,-37.930,68.090,71.600,65.340,-14.690,-5.917,-3.281,-0.174,-4.638,-5.522,-2.914,0.187,-5.514,-6.433,-3.762,-0.549,1.290,263.500,29.730,,,0.000,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,26,2004-12-26,361,-28.790,-24.180,-33.110,74.300,80.200,70.000,-16.270,-6.644,-4.010,-0.726,-5.462,-6.380,-3.710,-0.493,-6.260,-6.812,-4.262,-0.931,4.067,234.100,33.690,,,0.000,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,27,2004-12-27,362,-22.640,-18.120,-28.480,77.000,84.000,71.800,-14.470,-6.582,-4.184,-0.887,-6.082,-6.331,-4.082,-0.795,-6.294,-6.824,-4.299,-0.977,3.714,241.600,16.300,,,0.000,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,28,2004-12-28,363,-21.260,-19.210,-23.310,76.700,82.300,69.630,-12.410,-6.281,-4.234,-1.059,-6.007,-6.085,-4.153,-0.895,-6.314,-6.412,-4.343,-1.188,3.364,284.100,17.610,,,0.000,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,29,2004-12-29,364,-27.120,-19.680,-30.370,69.520,79.300,60.980,-12.110,-6.192,-4.319,-1.333,-5.986,-6.085,-4.159,-1.090,-6.180,-6.294,-4.417,-1.463,2.832,291.600,19.300,,,0.000,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,30,2004-12-30,365,-28.970,-27.600,-30.460,67.240,69.770,61.880,-13.180,-6.226,-4.339,-1.486,-5.980,-6.146,-4.270,-1.392,-6.127,-6.333,-4.420,-1.581,2.899,282.900,15.370,,,0.000,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12,31,2004-12-31,366,-28.440,-25.390,-30.630,69.950,76.200,66.110,-13.730,-6.388,-4.408,-1.589,-6.054,-6.281,-4.324,-1.502,-6.290,-6.535,-4.518,-1.696,3.054,290.300,14.840,,,0.000,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
